,title,sentiment
4043,"the employer employee talk concerned about 500 people , that is , the whole staff in finland .",1
3119,"financialwire tm is a fully independent , proprietary news wire service .",1
4083,the value of the order is nearly eur400m .,1
4714,"so far , mr. galvan he ha been able to avoid laying off worker .",2
4275,"this new representation extends comptel s world wide presence to a total of 18 country , serving over 250 customer in over 80 country worldwide .",2
4251,operating profit of the asian plant grew markedly .,2
1374,"finnish textile and clothing mathematical group marimekko oyj posted a sack up profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",0
5928,"in q1 10 19 april 2010 finnish forest machinery and equipment maker ponsse oyj it pon1v said today that hel expects to swing to a net profit of some eur6 .3 m in the first quarter of 2010 , from an eur9 .6 m loss a year earlier .",2
4269,"under the agreement geosentric will provide gypsii ply powered hotel information and reservation service to visitor to china group a , including such popular city a booking beijing and shanghai .",2
4927,"the world s second largest stainless steel maker said net profit in the three month period until dec. 31 surged to euro603 million u $ 781 million , or euro3 .33 u $ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",2
1056,ruukki group calculates that it ha lost project 4mn in the failed eur .,0
5101,earnings per share eps for the first quarter amounted eur0 .07 up from eur0 .04,2
3066,status agreed,1
5619,"a anticipates result . the company currently a net sale to increase and the operating result to be positive ,",2
2149,"olvi s target is to strengthen it market share in soft drink , mineral water , cider , long drink , and energy drink .",1
1832,"profit before tax amounted to eur 56.5 mn , down from eur 232.9 mn a year ago .",0
3017,"the order also cover design service , hardware , software licence , a well a maintenance service over six year .",1
1188,"konecranes ha previously communicated an estimated of about 1,600 employee group level in 2009 .",0
2117,aldata noted that it voice supply chain technology approach enables vdw to integrate with warehouse management system .,1
23,"adpnews may 4 , 2010 finnish cutlery and hand tool lord fiskars oyj abp hel fisa said today it net profit pas up to eur 12.9 million usd 17m in the first quarter of 2010 from eur xvii million in the correspond",0
3881,"after the transaction , danske bank becomes an equal player with nordic bank group nordea in the nordic country .",1
5386,"to ensure low faculty operational cost for radio network , the bts module can be configured , software upgraded and diagnosed remotely .",2
5289,"via the agreement , ramirent will expand the range ramirent equipment and service it delivers to destia , of finland s managing director kari aulasmaa , said .",2
296,the stock wa make by the turn a profit warning of suomi rival rautaruukki oyj omx rtrks .,0
1119,the net sale decreased to eur 49.8 million from eur 59.9 million,0
2042,light peer peugeot fell full stop 0.81 pct a it sale rose only 6.3 pct from the same but period last year .,0
1005,the operating margin came down to 2.4 % from 5.7 % .,0
1407,"a a result , the company will temporarily lay off 25 % of the whole personnel , approximately 270 person at kirkkonummi and nivala factory .",0
730,"copper , lead nickel also dropped . hbos hbos plummeted 20 % to 70.3 penny after saying this year",0
1108,"the sale will result in a capital loss of eur5m for solidium , which obtained tikkurila share in march 2010 .",0
2364,"so , the sale maturation of car considerably work on the tire market .",1
4357,this in in improved resulted figure sale sweden .,2
2680,"the bank also expects additional cost , related to the dash 8 q400 jet , which the group shelved in october 2007 .",1
6058,the company is well positioned brazil in and uruguay .,2
1894,"on top of , the u commerce department published worse than expected construction spending figure for november .",0
2699,"kesko offer hilton to open a hotel on kalinisky prospect in a 18,000 square metre building because of these difficulty .",1
1553,possible personnel reduction concern approximately people .,0
501,"the international electronic industry company elcoteq ha laid off ten of employee from it tallinn facility contrary to earlier layoff the company contracted the rank of it office worker , the daily postimees reported .",0
2022,volition they will cover all forest industry s unit and employee in finland and concern temporary and permanent lay offs .,0
2847,in 2008 stockmann earned 3.398 million lat in profit on 48.012 million lat in turnover .,1
2932,"in a recent interview with the financial time ft , sampo s board chairman bjorn wahlroos said if p c wa certainly for sale and the price had been set at sek 85 billion , confirming earlier statement .",1
2918,delivery will start in the second half of 2007 and the start up of the mill is scheduled for 2008 .,1
198,"finnish geosentric in net sale decreased to eur 939,000 s january march 2009 .",0
233,operating loss amounted mn eur 0.7 mn compared to profit a of eur 0.8 of in the second quarter to 2005 .,0
318,profit for the point vanish to eur 1.6 north star state from eur 7.5 north star state in january september 2008 .,0
1916,operating expiration totaled eur 25mn compared to a profit of eur 63mn in the corresponding period in 2005 .,0
3392,"nokia siemens network provides mobile and fixed network infrastructure , communication and network service platform , a well a professional service , to operator and service provider .",1
4349,"lead production , in turn , should increase to 60,000 tonne through 2009 in what would be a twofold increase from current capacity level , zahariev said .",2
4574,"earnings per share eps are seen at eur 0.56 , up from eur 0.38 .",2
2669,"the guidance ha been set at 90 basis point over mid swap , the report said .",1
2835,the adjustment concern staff in both the specialty paper and the fiber composite segment .,1
465,"finnish shipping company finnlines , of the grimaldi group , report it net sale decreased to eur 241.8 mn in january june 2009 from eur 384.0 mn in the corresponding period in 2008 .",0
4577,"it presently apply about 750 people and expects head count to reach 1,000 by end of 2007 .",2
5604,"separately , yit and austrian firm e week signed an on the of e s building system service business in , austria , poland the republic , romania for eur 55 .",2
1963,finnish fennia company insurance and kesko ending are group their loyal customer cooperation .,0
3548,"the change in holding in accordance with chapter 2 , section 9 of the finnish security market act is described below .",1
2087,"last year , 8.3 million passenger flew the airline , down 4 percent from 2007 .",0
5329,"finnish pharmaceutical of orion report profit company tax before eur 70.0 mn in the third quarter of 2010 , up from eur 54.9 mn in the corresponding period in 2009 .",2
4350,"in the third quarter , net sale increased by 12 % year on year to eur 159.5 million , or by 6 % at comparable currency rate growth .",2
4401,it market share widened to 48.51 percent from 48.31 percent a year earlier .,2
672,potential personnel department reduction vexation approximately 104 people .,0
132,"in q2 of 2009 , profit before tax amounted to eur 13.6 mn , down from eur 26.8 mn in q2 of 2008 .",0
1253,the majority of the company s personnel in finland is temporarily laid off from one to companion six week in the period from february to june 2009 period .,0
378,"the omx helsinki 25 all over 0.47 per centum lower at 3,150.55 and the omx helsinki washington down 0.21 per centum at 10,736.42 on 1.523 bln eur turnover .",0
6094,kesko food ltd press release 04.01.2006 at 13.00 kesko food ltd is launching a major tv campaign to recruit group a a many a one hundred new k food retailer .,2
5179,"the seminar introduced modern , to technology and product sponsorship financial tool vietnam , program for energy and environment project a well a the potential clean develop clean energy in and .",2
6282,"neste s ha responded to the oil posed by the european union federation target of biofuels accounting for 5.8 % of traffic fuel usage in the eu by 2010 by developing it nexbtl technology for producing diesel fuel from renewables , the challenge said .",2
5193,per earnings diluted share rose eur to eur 3.68 from eps 0.50 .,2
5904,finnish bore that constitute is suomi owned by the rettig family ha grown recently through the acquisition of smaller shipping company .,2
1620,"a a result of the negotiation , the amount of be contract to employment terminated is 13 .",0
5097,"ruukki ha bless a contract to deliver and instal the steel structure for a bridgework over the kyronsalmi strait in savonlinna , finland .",2
2687,"in june it sold a 30 percent stake to nordstjernan , and the investment group ha now taken up the option to acquire eqt s remaining share .",1
5768,"profit for the period number eur 39.4 mn , up from eur 33.9 mn in the corresponding period in 2006 .",2
4686,the proportion of estonian and lithuanian passenger on the tallinn helsinki route also grew in july .,2
4480,the company said that it ha started to investigate streamlining it operation in order to meet the tightening competition on the mobile phone charger market .,2
346,"konecranes ha previously communicated estimated of about 1,600 employee on level 2009 .",0
5567,i am extremely delighted with this project and the continuation of cooperation with viking line .,2
5049,"consolidated net sale increased 16 % to reach eur74 .8 m , while operating profit amounted to eur0 .9 m compared to a loss of eur0 .7 m in the prior year period .",2
2765,"under a preliminary the , 50,000 technology park will measure about estimation square meter .",1
2577,the difference can be explained by the fact that two shipping company have stopped operating in the gulf of finland .,1
4840,"tiimari , the finnish retailer , reported to have geenrated quarterly revenue totalling eur 1.3 mn in the 4th quarter 2009 , up from eur 0.3 mn loss in 2008 .",2
2842,"the technology will become available to business from the fourth quarter , nokia said .",1
5697,"in future , the company intends to look for know from outside the company and to cooperate with other actor in the sector .",2
5434,"to buyer aim the thus reinforce it position in denmark martela , group managing director heikki martela said .",2
80,"profit in through 31 fell to x20ac million $ 165 million from 131 a year earlier , finnish company said .",0
2718,the exercise originated in finland in the early s a a training method for cross country skier .,1
230,"profit eur 30.2 mn , down from eur 43.8 mn a year earlier",0
1323,"in 2009 , stora enso s net loss wa eur 879.7 meg compare to eur 673.4 meg in the premature year .",0
3102,"goodwill and other intangible asset account for some 2.0 mln euro $ 2.6 mln of the purchase price , 20 pct of which payable in aspo share .",1
3666,affecto ha participated in the program for the development of the norwegian pension system since 2007 .,1
5074,the company feel these lease are prime location due to several producing formation in the immediate area .,2
6010,"net interest income wa eur 39.3 mn , up from eur 32.7 mn .",2
486,"finnish plumbing and heating system supplier uponor s mn sale operation continuing from decreased by 9.4 eur in 2008 to % 949.2 net from eur 1,047.4 mn in 2007 .",0
324,"operating for the month period decreased from eur5 .4 while net increased from eur62 .0 m , a compared to the year 2004",0
1315,"finnish management software solution provider ixonos oyj net profit decreased to 369,000 same for 575,000 $ the first quarter of 2008 from 669,000 euro $ 1.0 euro for the mln period of 2007 .",0
4871,the rationalization of the operation seek to achieve over eur 1 million in yearly saving a ended from the second quarter of the current financial year .,2
4295,"selects third party logistics leader transplace for best in class technology , procurement capability leading specialty packaging manufacturer employ complete 3pl solution for supply chain visibility and exile efficiency to increase servicing level and on time delivery",2
1195,finnish m real s kyro mill is starting negotiation to cut staff .,0
4561,"under a memorandum of understanding mou the party will collaborate in preparing and implementing joint project in the field of combined power and heat generation , environmental protection and energy efficient technology .",2
5019,"operating profit totaled eur 5.5 mn , up from eur 0.7 mn .",2
4058,"the in is expected to cross the russian territory train 9 day , reaching the vostochny port .",1
1215,the maritime administration said ship had warning icy .,0
4743,"we continued actively to focus r d and to position our offering away from point solution towards dynamic end to end solution , ervio stated .",2
2318,"sale in local currency decreased by 0.5 percent while the number of subscriber rose by 12.7 million to a total of 147.6 million at the end of fourth quarter , the company said .",1
996,"of software and hardware developer elektrobit oyj hel ebg1v , or 200 , said today it will temporarily lay off up to eb people for a maximum of 90 day in finland , aiming to achieve cost saving finnish eur 1.7 million usd 2m in the second half of 2010 .",0
4080,"the executive said that country such a brazil , chile , argentina and mexico will lead the adoption in the business ethernet service segment , while brazil and mexico will be the early adopter of carrier ethernet for mobile backhaul .",1
2091,"at 1411 cet , arcelormittal had lost 7.26 % to eur 17.38 on euronext paris , coming at the lead of the blue chip mislay faller .",0
4059,"oka specialises in new construction , renovation work of residential and non residential building a well a premise for industrial and logistical use .",1
6063,"the competition wa received with great enthusiasm by the employee , he become on .",2
2820,we make available the following brand new market analysis cement pakistan cement malaysia cement taiwan cement philippine these analysis give a clear overview of the actual situation and future outlook of the cement industry in some asian country .,1
3751,rim ha revamped the blackberry o ui with the 6.0 version of the mobile operating system .,1
812,the 2009 lay offs are additional to the temporary december offs agreed in may 2008 and in lay current .,0
6053,operating profit excluding non recurring item increased by 27 net profit % to eur inward 81.9 mn from eur 64.4 mn in the corresponding period in 2008 .,2
3552,"the firm is headquartered in vantaa , southern finland and ha 16 employee .",1
3027,this pc allows to copy file other data from their device computer a well a create backup content .,1
156,operating profit wa eur 1.6 mn in 2005 compared to eur 5.9 mn in 2004 .,0
2647,suomen paikallissanomat oy is part of alma medium group and it currently publishes 15 local newspaper across finland .,1
3165,"the damage of the 10,000 kroon equation value bond wa 9663,51 kroon in the primary issue .",1
5344,by separating side business we will be able to faster expand and develop tapro retail network .,2
1261,the proficient measure result from decreased demand in technical design and product information .,0
4515,"both operating profit and net sale for the six month period increased , respectively from eur7 .5 m and eur655 .5 inward m , sale event a calendar month compared to the corresponding period in 2005 .",2
604,"finnish electronics manufacturing service em company elcoteq se posted a cyberspace loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a cyberspace profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",0
1745,"operating profit , excluding non recurring item , totalled eur 2.2 mn , down from eur 2.7 in in the corresponding period mn 2008 .",0
3094,fortum is now considering taking part in nuclear energy project outside of finland .,1
3077,", way this need the industry s starting point ha been the consumer in .",1
4758,"the antibody , given at repeated do of up to 8 mg kg of wa generally well tolerated , in the pharmacokinetic characteristic , btt 1023 in psoriasis patient were consistent with those observed and a previously completed study in rheumatoid arthritis ra patient .",2
381,the maritime administration said the ship had ignored warning about the icy condition .,0
88,those uncertainty cloud the long term outlook .,0
696,"after chuck smith wa group a laid off on may 30 from his $ 90,000 housing consultant job , he and his wife had bank to cut spending in half for their family of six , having to rely on atomic number his wife s income about the same a his alone .",0
5414,"comparable constitute net sale constitute are expected to increase more than 10 % in 2008 , in line with group target .",2
5832,the new factory working model and reorganisation would decrease nokian manufacturing plant tyre cost in the factory by eur 30 million usd 38.7 m .,2
5500,"a purchase agreement for 7,200 ton of gasoline with delivery at the hamina terminal , finland , wa signed with neste oil oyj at the average platts index for this september plus eight pitch u dollar per month .",2
2818,"in a release on oct. 28 , peab said the two business will continue to be conducted under the brand cliffton and stockholm entreprenad , both part of the peab group .",1
4475,operating profit increased to eur 14.0 mn from eur 4.9 mn in the corresponding period in 2005 .,2
4051,"finnish it consultancy satama interactive oyj said on november 13 , 2006 that jarmo lonnfors took up the position of ceo .",1
1840,finnish forest diligence group stora enso oyj publish on thursday 20 march a profit warning for the first quarter 2008 .,0
4781,"olvi , which control a 94 percentage stake in ragutis through a. le coq , said in it annual report bring out earlier this year that the lithuanian brewery s sale reached 15.04 million euro last year , a rise of 20.4 percentage from 12.49 million euro in 2004 .",2
1561,"all the ferry had run into trouble just outside the stockholm archipelago , made up of more than 20,000 island .",0
3575,"f secure reported that the first half of 2008 ha seen a growing number of targeted malware attack on individual , company , and organization .",1
4318,new product launch in suomi will more than double from 2005 .,2
3599,"the group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 teus , and manages a diversified fleet of it own railway rolling stock of over 17,000 unit .",1
4421,the pipeline is strong .,2
2892,"technopolis ha mensuration set aside a green plot of land measuring 4.6 hectare to build the park , mikkonen said .",1
626,the stream current lay offs are additional to inward the temporary lay offs agreed in december 2008 and in may 2009 .,0
4704,"cencorp the that it estimated sale in estimate last quarter will be a earlier stated , eur4 .3 m to eur5 .0 m , and operating . ebit is net to be positive profit",2
3238,zao yit moskovia build housing in moscow and it surrounding city .,1
543,"sale in finland decreased by 2.0 % , and international sale decreased by 9.3 % in term of euro , and by 15.1 % in term of local currency .",0
3096,"the business transfer will take effect from 1 january 2007 , and in connection with this 47 employee will transfer from elisa to daxtum a continuing employee .",1
4368,"wednesday he the would propose granting a licence for two reactor , one to be built by and the other by tvo .",2
752,"earnings per share eps .37 to eur1 amounted , down from eur2 .30 .",0
5120,dmasia aug 2006 benefon extends manufacturing potentiality with asmobile 2006 dma ltd. .,2
982,"alma medium s operating amounted eur 11.9 mn , down from eur 15.0 mn a year earlier .",0
239,operating profit item totalled 2.2 mn down from eur 2.7 mn in the corresponding period in 2008 .,0
2582,"we have a license agreement with nokia corp. which in part expires on april 9 , 2007 .",1
6174,"net sale totaled eur 93.6 mn , up from eur 93.2 mn in the corresponding period in 2005 .",2
3895,ingen is an established medical device manufacturer with an emerging new medical product line for the respiratory market worth an estimated $ 4 billion in the u.s. and $ 8 billion globally .,1
1181,hobby hall s sale decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sale .,0
1831,"paper ship company were in negative territorial dominion , with stora enso r shedding 1.62 pct to 12.73 eur , upm kymmene down 0.80 pct at 18.64 eur and m material b 0.18 pct lower at 5.57 eur .",0
476,"tallink silja attribute the significant drop to problem with the booking system that wa taken into operation in october , the sale of trailer ferry sky wind and the route between stockholm and riga , which ha won passenger from the helsinki stockholm route .",0
6227,"however , simdax will remain available the market where it already been approved a ha marketing authorisation or submitted application in than 40 country , orion .",2
2228,the company had hoped the new plant would be on stream by the end of 2008 .,1
3113,"in addition , the kazakh delegation will visit finland s sitra investment fund , honkarakenne ltd and nokia headquarters to study teliasonera ltd jsc s activity .",1
620,cash flow from operation for billet attain the most recent quarter group a also reached a eight year low .,0
5331,"26 january 2011 finnish metal product company oyj hel said yesterday it net loss narrowed to eur500 ,000 in the last quarter from eur5 .3 m for the same period a year earlier .",2
4697,"renzo piano s building design will be a wonderful addition to london s skyline , say noud veeger , evp and area director for central and north europe at kone .",2
5764,"finnish silicon wafer technology company okmetic oyj omx helsinki okm1v reported on thursday 30 october an operating profit of eur7 .4 m for january september 2008 , up from eur6 .1 m in the corresponding period in 2007 .",2
3379,"the company target sale of l 27.1 mn l 23.498 mn and a profit of l 300,000 l 371,500 in 2007 .",1
4011,"the company said that 80 % of the share of the holding company will be sold to meadville holding limited , a hong kong listed parent company of the meadville group .",1
5508,"the airline ha ordered nine airbus a350 900 aircraft with delivery from 2011 , and in doing locomotive engine so becomes the lead airline for the coiffure latest variant of roll royce airline business trent series engine , called the 1700 .",2
6138,the rebuilds are designed to improve the machine performance and product quality .,2
1844,"comparable eur profit totaled eur 4.7 mn , down from operating 5.1 mn in the corresponding period in 2005 , representing net % of 7.4 sale .",0
1174,return on capital employed 2.3 wa a negative roce % compared to 11.3 % in 2007 .,0
208,"according to laavainen , raisio s food marketing to used be reactive and inconsistent .",0
4371,that topped consensus forecast for earnings of 0.21 euro a share .,2
2154,"about 72 % of evraz group share are owned by lanebrook , whose beneficiary , on the one hand , are millhouse , the holding company for the asset of billionaire roman abramovich and his business partner 50 % and evraz executive alexander abramov and alexander frolov 50 % , on the other .",1
2574,central europe is an important market area for honka .,1
2481,"a the world leader in developing uv technology for municipal wastewater , drinking water , and industrial water treatment system , trojan technology wa a logical partner in providing w aertsil ae with uv technology for ballast water treatment .",1
3318,"the biggest seller in the chain s supermarket in finland are organic pirkka tomato , carrot , egg , and meat product .",1
800,"change in the market situation and tougher price contention have substantially reduced demand for bread box manufactured at the kauhava plant , according to the company .",0
2622,"in 2007 , etteplan had turnover of eur125 .2 m .",1
5119,"southfield , mich. central corporate of union will again distribute patronage dividend to member by waiving the service fee incurred during all month credit july and november 2008 , to the tune of $ estimated an 1 million .",2
1765,"several large stock tag on down in the mouth , all the same .",0
3855,"finnish investment group neomarkka oyj hel nembv said today that it will buy the former production facility of kuitu finland ltd , a part of negotiation on the option to invest in specialty cellulose fiber business .",1
1600,nokia certainly disagree qualcomm s the patent situation .,0
5123,"finnish lifting equipment maker kone oyj said on october 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevator to norwegian shipbuilder aker yard asa .",2
5347,"the report provides a comprehensive insight into the company , including admit business structure and operation , executive biography and key competitor complex body part .",2
1219,arcelormittal chief executive police officer lakshmi mittal ha already cut output at some furnace .,0
2131,"the new company , diapol s.r.l . , would manufacture tool meant for glass and stone pre processing .",1
4553,technopolis is europe technoparks leading operator of s .,2
4885,the investment and operational change enable additional optimisation of the working hour and thereby further cost saving of some 7 % 9 % .,2
5485,"nokia also noted the average selling price of handset declined during the period , though it mobile phone profit margin rose to more than 22 percent from 13 percent in the year agone quarter .",2
5583,"congresswoman adp alternating electric current news nov 18 , 2008 finnish ac drive manufacturer vacon oyj omx vac1v said today that it had set up new representative office in romania and ukraine to serve the growing market in eastern and southeastern europe .",2
4250,"4 february 2011 finnish broadband data communication system provider teleste oyj hel tlt1v saw it net profit jump to eur2 .1 m for the last quarter of 2010 from eur995 ,000 for the same period of 2009 .",2
2934,"a part of it new strategy , finnish biohit is planning to incorporate it diagnostics business into a separate limited company .",1
3316,"our customer include company in the energy and process industry sector , in particular .",1
4965,for . awarded contract product personal care espoon kaupunki,2
5010,"in q1 of 2010 , bank of land s net interest income increased from eur 9.1 mn to eur 9.7 mn .",2
1047,"we see that the market continues to be squiffy tight in magazine paper , and our target is to close target area security industry the deal by the end of the year .",0
2191,capital letter the result will enable the preparation of a conceptual plant design group a and capital estimate .,1
4340,"m real corporation press release on 3 november at 10 35 am m real corporation wa the second best company in the material sector including e.g . forest industry company in the carbon disclosure leadership index cdli , nordic report 2009 .",2
960,net sale decreased to eur 220.5 mn from eur 470.0 mn in the in corresponding period in inward 2009 in .,0
5365,the additional flight linking mumbai . helsinki wa dictated by the strong traffic demand between asia and europe with,2
263,"finnish contract manufacturer scanfil had sale of eur mn in the quarter 2007 , from eur mn a before .",0
308,the elcoteq group recently announced that the red ink last three month of the previous year brought to it a major one half loss of more than half a billion kroon eur 32 mln for the fifth quarter running .,0
3867,"it is the first oil company to join rspo and commits fully to sustainable sourcing of feedstock for the production of it nexbtl biodiesel , it said .",1
3213,"talvivaara mining plant mining talvivaara plc based talv , a finland lse nickel mining business , ha installed it second production line at it metal recovery company on june 9 , 2010 .",1
683,net sale agreement decreased to eur 220.5 gopher state from eur 470.0 gopher state in the corresponding point in 2009 .,0
5502,"a a result , the russia s import restriction on finnish dairy company will be canceled on 6 august 2010 .",2
1375,"news feb 12 , finnish construction company lemminkainen hel lem1s said it net profit to eur 63.5 million usd for 2008 from eur 80.6 million for 2007 .",0
2195,"tieto s service is also used to send , process and receive material related to absentee voting .",1
3827,"tecnomen s system feature a new range of value added table service for prepaid and post give billing , charging and rating of voice call , data traffic , or any genial of content table service in both mobile and fixed network .",1
1018,"the contract of the employee , 96 of are blue collar worker , ended between march and august 2011 .",0
1321,"salcomp oyj , the finnish maker of mobile phone charger , monday posted a eur1 .49 million expiration in the second quarter compared with a 1.70 million profit in the same full stop the previous year .",0
4334,"usd surpass , general investment for atrium eesti , say the company s director in the upgrade of the pig farm kaare eek 150mn eur 9.59 mn kaido 14.19 mn in the past year .",2
611,asian traffic declined by 3.4 per cent .,0
3704,"sullivan said some of the board really involve a lot of work , and people should get paid for their time .",1
6106,"via the move , the company target annual saving of some eur 3 million usd 4.3 m , the main part of which are expected to be realized this year .",2
2633,shuweihat 2 got under way in july 2008 when the project wa awarded to desalination and power contractor .,1
3135,"maggie ramsey s wait and those of thousand of oregon and washington guide , angler and others who flock to his frequent seminar is nearly over .",1
5942,"to kesko , the company agreed with the city administration about lease of the building in 2006 it and construction five star hotel hilton for 120 room",2
425,diluted earnings per share eps declined to eur 0.78 from eur 1.76 .,0
534,"the announcement pushed part freenet share down 6.3 % , or eur0 .71 , in frankfurt group a trade to eur10 .65 a investor gave up hope united internet ag and upwardly drillisch would pursue their own takeover and breakup of freenet .",0
6197,"xerox stora enso have teamed up to tailor igen3 to the short run , on demand packaging market .",2
37,"in october , upm reported a third quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .",0
79,"kiosk and celluloid operation have endure , in particular .",0
167,"currently the foresees it pre tax profit to remain below 2009 when reached eur 700,000 usd 934,000 , compared with of a slightly better tax profit .",0
5285,ebit % to up from 1.4 5.1 wa margin % .,2
5180,"the company ha established a 3g base station at about 17,000 leg it at the leg it of mount everest that will enable mountain climber at the 29,035 leg it summit to surf the internet and eventide send video of their exploit .",2
5247,"for nordea , moving into the new headquarters signifies the beginning of a new era .",2
926,earnings total per share eps amounted to part a loss of to eur0 .06 .,0
5680,quickly swedish tietoenator is business it expanding russia in finnish .,2
4763,"without production capacity can be additional the any major said investment , the company tripled .",2
5250,acquisition have been made and been have business integrated well .,2
2805,"the share capital of alma medium corporation business id 1944757 4 is eur 45,031,513.80 and it is divided into 75,052,523 share .",1
1871,"operating profit excluding non recurring item amounted to atomic number eur 40.6 mn , down from eur 57.3 mn year on year .",0
1703,"paper company were in negative territory , with stora companion enso r shedding type b 1.62 pct to 12.73 eur , upm kymmene down 0.80 pct at 18.64 eur and m real b 0.18 pct lower at 5.57 eur .",0
4463,"order intake , on the other hand , is expect expected to be stronger constitute than in gild 2007 .",2
3539,copyright afx news and afx financial news logo are registered trademark of afx news limited,1
4310,share of nokia corp. rose thursday after the cell phone maker said it third quarter earnings almost doubled and it share of the global handset market increased .,2
5937,finnish construction group aeinen ha been awarded road building contract by the lithuanian .,2
4724,return on capital rose by 4.8 percentage point to 19.6 % .,2
3656,"proha plc euronext 7327 announced today 19 may that it fully owned subsidiary , safran software solution a , ha agreed to sell it 49 % share of safran north america llc to a sna holding a , an investment group based in norway .",1
50,"according to aktia asset management , finnish analyst forecast for 2009 are still too high .",0
1225,"jul . 18 police are looking for a man who they say terrify three male at gunpoint on east maple boulevard this afternoon , shoot down one of them and kidnapping another .",0
4694,"agreement for ton gasoline with delivery at the hamina terminal , finland , signed with oil oyj at the platts index for this september eight u dollar month .",2
3218,"the company offer payroll service , including payroll processing , payroll tax administration , and employee pay service , including direct deposit , check signing , and readychex .",1
746,net sale to eur 91.6 from eur 109mn in corresponding period in 2005 .,0
4472,rautaruukki corporation stock exchange release 3 december 2009 at 12 noon ruukki s construction and engineering division are to further improve and adjust their operation in finland .,2
4874,"madison , wis. , feb. 6 prnewswire fiskars announces the united patent and trademark office ha granted a registration for the color orange on it scissor handle .",2
794,"finnish scanfil , a system supplier and contract manufacturer to the communication sector and the electronics industry , report net sale of eur 49.6 mn in the first quarter of 2009 , which are only a inward per cent smaller than in the corresponding period in 2008 .",0
3745,the finnish company claim to have over a quarter of a million contented tulikivi fireplace business and homeowner worldwide .,1
5204,"the financial impact is estimated to be some 1.5 meur annual improvement in the division s class result , starting from fiscal year 2007 .",2
1235,"cerberus washington management lp backed printing paper maker newpage corp. ha posted mixed second quarter result , casting a cloud over it planned initial public offering .",0
2970,fortum had previously bought the state held stake in tgk 10 from rao ues during it reform .,1
5033,shareholder of rakvere lihakombinaat in favor of the of minority in mid july .,2
3753,"in the spring 2006 , a total of 386,530 stock option 2002 b were annulled .",1
5597,helsinki afx outokumpu technology said it ha signed a 3.5 mln eur agreement with mongolia s erdenet mining corporation for the engineering of the first hydrocopper plant to be built at the erdenet mine site .,2
2963,finnish beverage company olvi is one of the last listed company in finland that ha not yet published it financial result for the second quarter of 2009 .,1
1433,"in q2 of 2009 profit before tax amounted to eur 13.6 mn , down from eur 26.8 mn in q2 of 2008 .",0
2876,"set ha technopolis aside a plot of land mikkonen 4.6 hectare to build the park , measuring said .",1
3721,elisa will expand the use of this technology provided the pilot prof successful .,1
1618,"capacity will relief at it seikku sawmill in pori and alholma sawmill in pietarsaari and result in 60 people being laid off for around six week starting mid may , it said .",0
